,영어,한글
0,起,일어날 기
1,帰,돌아갈 귀
2,社,모일 사
3,決,결정할 결
4,貸,빌릴 대
5,通,통할 통
6,会,모을 회
7,員,인원 인
8,売,팔 매
9,場,마당 장
10,物,물건 물
11,代,대신 대
12,返,돌이킬 반
13,数,셀 수
14,軽,가벼울 경
15,体,몸 체
16,族,친족 족
17,事,사건 지
18,去,갈 거
19,集,모을 집
20,教,가르칠 교
21,考,생각할 고
22,押,누를 압
23,終,마칠 종
24,屋,집 옥
25,紙,종이 지
26,方,"이쪽, 이분"
27,洗,씻을 세
28,送,보낼 송
29,着,붙을 착
30,営,경영할 영
31,切,끊을 절
32,歌,노래 가
33,親,친할 친
34,度,"방법 도(way), 셀 탁(count)"
35,室,집 실
36,意,뜻 의
37,年,해 년
38,言,말씀 언
39,指,가리킬 지
40,業,업 업(job)
41,泳,헤엄칠 영
42,写,배낄 사
43,運,옮길 운
44,気,기운 기
45,分,나눌 분
46,急,급할 급
47,思,생각 사
48,歩,걸음 보
49,映,비칠 영
50,風,바람 풍
51,週,일주일 주
52,安,편안할 안
53,英,꽃부리 영(english)
54,顔,얼굴 안
55,話,말씀 화
56,妹,누이 매
57,行,다닐 행
58,暑,더울 서
59,画,그림 화
60,楽,즐길 락
61,家,집 가
62,口,입 구
63,頭,머리 두
64,明,밝을 명
65,姉,손윗누이 자
66,語,말씀 어
67,味,맛 미
68,手,손 수
69,海,바다 해
70,見,볼 견
71,青,푸를 청
72,糸,실 사
73,開,열 개
74,動,움직일 동
75,外,바깥 외
76,上,윗 상
77,以,써 이(for)
78,音,소리 음
79,者,놈 자
80,弟,아우 제
81,重,무거울 중
82,人,사람 인
83,間,사이 간
84,多,많을 다
85,出,날 출
86,火,불 화
87,内,안 내
88,石,돌 석
89,秋,가을 추
90,赤,붉을 적
91,池,못 지
92,一,하나 일
93,学,배울 학
